"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","4","Carbon in living biomass","2000","178","Panama","41.2",""
"1","Other wooded land","4","Carbon in living biomass","2000","118","Papua New Guinea","153.4",""
"1","Other wooded land","4","Carbon in living biomass","2000","166","Russian Federation","300",""
"1","Other wooded land","4","Carbon in living biomass","2000","10","Rwanda","0.752",""
"1","Other wooded land","4","Carbon in living biomass","2000","106","Republic of Korea","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","165","Republic of Moldova","1.54",""
"1","Other wooded land","4","Carbon in living biomass","2000","197","Saint Pierre and Miquelon","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","198","Saint Vincent and the Grenadines","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","25","R?union","0.8",""
"1","Other wooded land","4","Carbon in living biomass","2000","196","Saint Lucia","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","71","Senegal","24",""
"1","Other wooded land","4","Carbon in living biomass","2000","2","Sierra Leone","13.08",""
"1","Other wooded land","4","Carbon in living biomass","2000","7655310","San Marino","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","97","Saudi Arabia","4.03",""
"1","Other wooded land","4","Carbon in living biomass","2000","57","Morocco","0.12",""
"1","Other wooded land","4","Carbon in living biomass","2000","107","Mongolia","4.31",""
"1","Other wooded land","4","Carbon in living biomass","2000","7655168","Monaco","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","4921994","Micronesia (Federated States of)","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","35","Nepal","39",""
"1","Other wooded land","4","Carbon in living biomass","2000","5293372","Nauru","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","17","Namibia","141.09",""
"1","Other wooded land","4","Carbon in living biomass","2000","16","Mozambique","915",""
"1","Other wooded land","4","Carbon in living biomass","2000","643000372","Norfolk Island","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","116","Niue","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","70","Niger","44",""
"1","Other wooded land","4","Carbon in living biomass","2000","140","Netherlands","0",""
"1","Other wooded land","4","Carbon in living biomass","2000","5294032","Palau","0",""
